"scientificName","minBodyLengthMM","maxBodyLengthMM","meanBodyLengthMM","wingType","identificationReferences","sizeRef","wingRef","diapause","taxonRank","kingdom","phylum","class","order","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet"
"Bembidion canadianum",3.4,3.6,,"variable; either reduced or macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Trepanedoris","canadianum",""
"Bembidion obtusangulum",3.8,5.3,,,"Lindroth 1969","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Notaphus","obtusangulum",""
"Bembidion rapidum",3.8,4.4,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Notaphus","rapidum",""
"Bradycellus harpalinus",3.8,4.2,,"most macropterous; occasional subapterous","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as larva in europe","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Bradycellus","Bradycellus","harpalinus",""
"Amara musculis",3.9,6.5,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Celia","musculis",""
"Bradycellus congener",3.9,4.8,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Bradycellus","Stenocellus","congener",""
"Bradycellus rupestris",3.9,4.7,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Bradycellus","Stenocellus","rupestris",""
"Pterostichus nivalis",4,5.1,,,"Ball 1966","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Criobius","nivalis",""
"Badister grandiceps",4.1,5.6,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Badister","Baudia","grandiceps",""
"Bembidion nitidum",4.1,5.3,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Hydrium","nitidum",""
"Bradycellus lecontei",4.3,5,,,"Lindroth 1969","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Bradycellus","Catharellus","lecontei",""
"Amara brunnea",5.2,6.8,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Celia","brunnea",""
"Amara rubrica",5.2,7.3,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Celia","rubrica",""
