"scientificName","minBodyLengthMM","maxBodyLengthMM","meanBodyLengthMM","wingType","identificationReferences","sizeRef","wingRef","diapause","taxonRank","kingdom","phylum","class","order","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet"
"Cyclotrachelus freitagi",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Cyclotrachelus","freitagi",""
"Cyclotrachelus fucatus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Cyclotrachelus","fucatus",""
"Cyclotrachelus furtivus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","furtivus",""
"Cyclotrachelus hypherpiformis",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","hypherpiformis",""
"Cyclotrachelus laevipennis",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Cyclotrachelus","laevipennis",""
"Cyclotrachelus ovulum",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Cyclotrachelus","ovulum",""
"Cyclotrachelus seximpressus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","seximpressus",""
"Cyclotrachelus sigillatus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","sigillatus",""
"Cyclotrachelus sodalis colossus",,,,,"Freitag 1969",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","sodalis","colossus"
"Cyclotrachelus sodalis sodalis",,,,,"Freitag 1969",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","sodalis","sodalis"
"Cyclotrachelus substriatus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","substriatus",""
"Cyclotrachelus torvus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","torvus",""
"Cylindera celeripes",,,,"subapterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cylindera","Cylindera","celeripes",""
"Cylindera cursitans",,,,"flightless","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cylindera","Cylindera","cursitans",""
"Cylindera lemniscata rebaptisata",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cylindera","Cylindera","lemniscata","rebaptisata"
"Cylindera unipunctata",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cylindera","Cylindera","unipunctata",""
"Cymindis americana",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","americana",""
"Cymindis arizonensis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Cymindis","arizonensis",""
"Cymindis cribricollis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","cribricollis",""
"Cymindis interior",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","interior",""
"Cymindis laticollis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","laticollis",""
"Cymindis limbata",,,,,"Hunting 2013",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Pinacodera","limbata",""
"Cymindis neglecta",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","neglecta",""
"Cymindis pilosa",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","pilosa",""
"Cymindis planipennis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","planipennis",""
"Cymindis platicollis",,,,,"Hunting 2013",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Pinacodera","platicollis",""
"Cymindis platicollis platicollis",,,,,"Hunting 2013",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Pinacodera","platicollis","platicollis"
"Cymindis punctigera",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Pinacodera","punctigera",""
"Cymindis unicolor",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","unicolor",""
"Cymindis vaporariorum",,,,,"Shpeley and Ball 1999",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Cymindis","Tarulus","vaporariorum",""
"Dicaelus alternans",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Dicaelus","alternans",""
"Dicaelus ambiguus",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","ambiguus",""
"Dicaelus dilatatus dilatatus",,,,,"Ball 1959",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","dilatatus","dilatatus"
"Dicaelus dilatatus sinuatus",,,,,"Ball 1959",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","dilatatus","sinuatus"
"Dicaelus elongatus",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","elongatus",""
"Dicaelus furvus carinatus",,,,,"Ball 1959",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","furvus","carinatus"
"Dicaelus furvus furvus",,,,,"Ball 1959",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","furvus","furvus"
"Dicaelus politus",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","politus",""
"Dicaelus purpuratus purpuratus",,,,,"Ball 1959",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Dicaelus","purpuratus","purpuratus"
"Dicaelus purpuratus splendidus",,,,,"Ball 1959",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Dicaelus","purpuratus","splendidus"
"Dicaelus sculptilis",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","sculptilis",""
"Dicaelus sculptilis sculptilis",,,,,"Ball 1959",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","sculptilis","sculptilis"
"Dicaelus teter",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Dicaelus","Paradicaelus","teter",""
"Dicheirotrichus cognatus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Dicheirotrichus","Trichocellus","cognatus",""
"Diplocheila crossi",,,,,"Will 1998",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Diplocheila","Isorembus","crossi",""
"Diplocheila obtusa",,,,,"Ball 1992",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Diplocheila","Isorembus","obtusa",""
"Discoderus cordicollis",,,,,"other",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Discoderus","","cordicollis",""
"Discoderus impotens",,,,,"Other",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Discoderus","","impotens",""
"Discoderus parallelus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Discoderus","","parallelus",""
"Dromochorus belfragei",,,,"subapterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Dromochorus","","belfragei",""
"Dromochorus pruininus",,,,"flightless","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Dromochorus","","pruininus",""
"Dyschirius globulosus",,,,,"Bousquet 1988",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Dyschiriini",,"Dyschirius","Dyschiriodes","globulosus",""
"Dyschirius melancholicus",,,,,"Bousquet 1988",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Dyschiriini",,"Dyschirius","","melancholicus",""
"Dyschirius pilosus",,,,,"Bousquet 1988",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Dyschiriini",,"Dyschirius","Dyschiriodes","pilosus",""
"Dyschirius planatus",,,,,"Bousquet 1988",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Dyschiriini",,"Dyschirius","Dyschiriodes","planatus",""
"Dyschirius tenuispinus",,,,,"Bousquet 1988",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Dyschiriini",,"Dyschirius","Eudyschirius","tenuispinus",""
"Elaphropus anceps",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Elaphropus","Barytachys","anceps",""
"Elaphropus granarius",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Elaphropus","Barytachys","granarius",""
"Elaphropus incurvus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Elaphropus","Barytachys","incurvus",""
"Elaphropus saturatus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Elaphropus","Barytachys","saturatus",""
"Elaphropus vernicatus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Elaphropus","Barytachys","vernicatus",""
"Elaphropus xanthopus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Elaphropus","Barytachys","xanthopus",""
"Elaphrus clairvillei",,,,,"Goulet 1983",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Elaphrinae","Elaphrini",,"Elaphrus","Neoelaphrus","clairvillei",""
"Elaphrus lapponicus lapponicus",,,,,"Lindroth 1969",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Elaphrinae","Elaphrini",,"Elaphrus","Arctelaphrus","lapponicus","lapponicus"
"Euryderus grossus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Euryderus","","grossus",""
"Galerita atripes",,,,,"Ball and Nimmo 1983",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini",,"Galerita","Progaleritina","atripes",""
"Galerita bicolor",,,,,"Ball and Nimmo 1983",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini",,"Galerita","Progaleritina","bicolor",""
"Galerita janus",,,,,"Ball and Nimmo 1983",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini",,"Galerita","Progaleritina","janus",""
"Galerita lecontei lecontei",,,,,"Ball and Nimmo 1983",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Galeritini",,"Galerita","Progaleritina","lecontei","lecontei"
"Gastrellarius blanchardi",,,,,"Darlington 1932",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Gastrellarius","","blanchardi",""
"Gastrellarius honestus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Gastrellarius","","honestus",""
"Harpalus amputatus amputatus",,,,,"Lindroth 1969",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Harpalus","amputatus","amputatus"
"Harpalus animosus",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","animosus",""
"Harpalus caliginosus",,,,,"Will 1997",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Megapangus","caliginosus",""
"Harpalus compar",,,,,"Ball 1962",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","compar",""
"Harpalus cordatus",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","cordatus",""
"Harpalus desertus",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","desertus",""
"Harpalus ellipsis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Harpalus","ellipsis",""
"Harpalus erraticus",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Plectralidus","erraticus",""
"Harpalus erythropus",,,,,"Ball 1962",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","erythropus",""
"Harpalus faunus",,,,,"Ball 1962",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","faunus",""
"Harpalus fraternus",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","fraternus",""
"Harpalus fulvilabris",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","fulvilabris",""
"Harpalus fuscipalpis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Harpalobius","fuscipalpis",""
"Harpalus hatchi",,,,,"Ball 1962",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","hatchi",""
"Harpalus herbivagus",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Harpalus","herbivagus",""
"Harpalus indigens",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","indigens",""
"Harpalus katiae",,,,,"Will 2001",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Megapangus","katiae",""
"Harpalus laticeps",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","laticeps",""
"Harpalus nigritarsis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","nigritarsis",""
"Harpalus obliquus",,,,,"Ball 1972",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Glanodes","obliquus",""
"Harpalus opacipennis",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Harpalus","opacipennis",""
"Harpalus paratus",,,,,"Ball 1962",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","paratus",""
"Harpalus pensylvanicus",,,,,"Ball 1962",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","pensylvanicus",""
"Harpalus pensylvanicus/texanus",,,,,"Ball 1962",,,,"speciesGroup","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","pensylvanicus/texanus",""
"Harpalus protractus",,,,,"Ball 1962",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","protractus",""
"Harpalus providens",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","providens",""
"Harpalus retractus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Plectralidus","retractus",""
"Harpalus reversus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","reversus",""
"Harpalus rubripes",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Harpalus","rubripes",""
"Harpalus solitaris",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Harpalus","solitaris",""
"Harpalus somnulentus",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Harpalus","somnulentus",""
"Harpalus spadiceus",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","spadiceus",""
"Harpalus vagans",,,,,"Ball 1962",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Pseudoophonus","vagans",""
"Harpalus ventralis",,,,,"Noonan 1991",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Harpalus","Opadius","ventralis",""
"Helluomorphoides clairvillei",,,,,"Ball 1956",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","clairvillei",""
"Helluomorphoides ferrugineus",,,,,"Ball 1956",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","ferrugineus",""
"Helluomorphoides latitarsis",,,,,"Ball 1956",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","latitarsis",""
"Helluomorphoides nigripennis",,,,,"Ball 1956",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","nigripennis",""
"Helluomorphoides papago",,,,,"Ball 1956",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","papago",""
"Helluomorphoides praeustus",,,,,"Ball 1956",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","praeustus",""
"Helluomorphoides praeustus bicolor",,,,,"Ball 1956",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","praeustus","bicolor"
"Helluomorphoides praeustus floridanus",,,,,"Ball 1956",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","praeustus","floridanus"
"Helluomorphoides texanus",,,,,"Ball 1956",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini",,"Helluomorphoides","","texanus",""
"Lebia pulchella",,,,,"Madge 1967",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Lebia","Lebia","pulchella",""
"Lebia subgrandis",,,,,"Madge 1967",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Lebia","Loxopeza","subgrandis",""
"Lebia viridis",,,,,"Madge 1967",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Lebia","Lebia","viridis",""
"Lophoglossus haldemanni",,,,,"Will 1999",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Lophoglossus","","haldemanni",""
"Loricera pilicornis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Loricerinae","Loricerini",,"Loricera","Loricera","pilicornis",""
"Loricera pilicornis pilicornis",,,,,"Ball and Erwin 1969",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Loricerinae","Loricerini",,"Loricera","Loricera","pilicornis","pilicornis"
"Loxandrus cincinnati",,,,,"Allen 1972",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Abacetini",,"Loxandrus","","cincinnati",""
"Loxandrus crenatus",,,,,"Allen 1972",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Abacetini",,"Loxandrus","","crenatus",""
"Loxandrus rectus",,,,,"Allen 1972",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Abacetini",,"Loxandrus","","rectus",""
"Loxandrus vulneratus",,,,,"Allen 1972",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Abacetini",,"Loxandrus","","vulneratus",""
"Micrixys distincta",,,,,"Arnett and Thomas 2001",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Panagaeini",,"Micrixys","","distincta",""
"Microlestes linearis",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Microlestes","","linearis",""
"Microlestes nigrinus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Microlestes","","nigrinus",""
"Morion monilicornis",,,,,"Allen 1968",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Morionini",,"Morion","","monilicornis",""
"Myas coracinus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Myas","Trigonognatha","coracinus",""
"Myas cyanescens",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Myas","Trigonognatha","cyanescens",""
"Nebria trifaria",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Nebriini",,"Nebria","Catonebria","trifaria",""
"Notiobia nitidipennis",,,,,"Noonan 1973",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Notiobia","Anisotarsus","nitidipennis",""
"Notiobia terminata",,,,,"Noonan 1973",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Notiobia","Anisotarsus","terminata",""
"Notiophilus aeneus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Notiophilini",,"Notiophilus","","aeneus",""
"Notiophilus aquaticus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Notiophilini",,"Notiophilus","","aquaticus",""
"Notiophilus directus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Notiophilini",,"Notiophilus","","directus",""
"Notiophilus novemstriatus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Notiophilini",,"Notiophilus","","novemstriatus",""
"Notiophilus semiopacus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Notiophilini",,"Notiophilus","","semiopacus",""
"Notiophilus semistriatus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Notiophilini",,"Notiophilus","","semistriatus",""
"Notiophilus sylvaticus",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Notiophilini",,"Notiophilus","","sylvaticus",""
"Olisthopus parmatus",,,,,"Bousquet 2010b",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Olisthopus","","parmatus",""
